Year,State,StudentLoan_PerCapita_USD,RPP_AllItems,Balance_Billions,Borrowers_Thousands
2008,Ohio,3060.0,92.531,64.4,1787.0
2009,Ohio,3490.0,93.493,64.4,1787.0
2010,Ohio,3940.0,93.105,64.4,1787.0
2011,Ohio,4220.0,92.191,64.4,1787.0
2012,Ohio,4640.0,93.014,64.4,1787.0
2013,Ohio,5000.0,93.26,64.4,1787.0
2014,Ohio,5320.0,93.019,64.4,1787.0
2015,Ohio,5510.0,92.218,64.4,1787.0
2016,Ohio,5780.0,92.333,64.4,1787.0
2017,Ohio,5980.0,91.931,64.4,1787.0
2018,Ohio,6220.0,92.985,64.4,1787.0
2019,Ohio,6320.0,93.289,64.4,1787.0
2020,Ohio,6400.0,91.935,64.4,1787.0
2021,Ohio,6390.0,92.223,64.4,1787.0
2022,Ohio,6320.0,91.506,64.4,1787.0
2023,Ohio,6210.0,91.903,64.4,1787.0
2024,Ohio,6120.0,92.774,64.4,1787.0
2008,Oklahoma,2400.0,89.536,17.1,514.8
2009,Oklahoma,2700.0,88.457,17.1,514.8
2010,Oklahoma,2940.0,90.562,17.1,514.8
2011,Oklahoma,3210.0,90.935,17.1,514.8
2012,Oklahoma,3580.0,91.232,17.1,514.8
2013,Oklahoma,3730.0,91.527,17.1,514.8
2014,Oklahoma,3840.0,91.825,17.1,514.8
2015,Oklahoma,3940.0,91.369,17.1,514.8
2016,Oklahoma,4100.0,91.514,17.1,514.8
2017,Oklahoma,4300.0,90.881,17.1,514.8
2018,Oklahoma,4540.0,89.646,17.1,514.8
2019,Oklahoma,4560.0,89.332,17.1,514.8
2020,Oklahoma,4630.0,89.63,17.1,514.8
2021,Oklahoma,4710.0,89.883,17.1,514.8
2022,Oklahoma,4690.0,88.807,17.1,514.8
2023,Oklahoma,4720.0,88.68,17.1,514.8
2024,Oklahoma,4630.0,87.843,17.1,514.8
2008,Oregon,2710.0,97.802,20.8,531.9
2009,Oregon,3090.0,100.273,20.8,531.9
2010,Oregon,3440.0,99.43,20.8,531.9
2011,Oregon,3720.0,99.789,20.8,531.9
2012,Oregon,4160.0,101.125,20.8,531.9
2013,Oregon,4460.0,100.175,20.8,531.9
2014,Oregon,4750.0,99.745,20.8,531.9
2015,Oregon,4980.0,101.119,20.8,531.9
2016,Oregon,5260.0,99.593,20.8,531.9
2017,Oregon,5430.0,101.474,20.8,531.9
2018,Oregon,5760.0,104.657,20.8,531.9
2019,Oregon,5820.0,103.811,20.8,531.9
2020,Oregon,5890.0,103.243,20.8,531.9
2021,Oregon,5880.0,103.15,20.8,531.9
2022,Oregon,5770.0,106.612,20.8,531.9
2023,Oregon,5740.0,104.812,20.8,531.9
2024,Oregon,5610.0,103.361,20.8,531.9
2008,Pennsylvania,3200.0,99.153,69.7,1874.3
2009,Pennsylvania,3600.0,99.488,69.7,1874.3
2010,Pennsylvania,3950.0,98.94,69.7,1874.3
2011,Pennsylvania,4290.0,98.437,69.7,1874.3
2012,Pennsylvania,4600.0,98.003,69.7,1874.3
2013,Pennsylvania,4890.0,97.836,69.7,1874.3
2014,Pennsylvania,5140.0,97.207,69.7,1874.3
2015,Pennsylvania,5350.0,98.147,69.7,1874.3
2016,Pennsylvania,5660.0,97.767,69.7,1874.3
2017,Pennsylvania,5910.0,99.102,69.7,1874.3
2018,Pennsylvania,6210.0,98.151,69.7,1874.3
2019,Pennsylvania,6420.0,97.979,69.7,1874.3
2020,Pennsylvania,6520.0,97.717,69.7,1874.3
2021,Pennsylvania,6450.0,96.145,69.7,1874.3
2022,Pennsylvania,6540.0,96.256,69.7,1874.3
2023,Pennsylvania,6570.0,97.4,69.7,1874.3
2024,Pennsylvania,6510.0,97.572,69.7,1874.3
2008,Rhode Island,2870.0,103.603,5.2,151.2
2009,Rhode Island,3200.0,103.935,5.2,151.2
2010,Rhode Island,3750.0,101.802,5.2,151.2
2011,Rhode Island,3600.0,101.111,5.2,151.2
2012,Rhode Island,4060.0,99.842,5.2,151.2
2013,Rhode Island,4410.0,101.446,5.2,151.2
2014,Rhode Island,4650.0,100.26,5.2,151.2
2015,Rhode Island,4780.0,102.014,5.2,151.2
2016,Rhode Island,4940.0,101.59,5.2,151.2
2017,Rhode Island,4910.0,102.403,5.2,151.2
2018,Rhode Island,5390.0,102.033,5.2,151.2
2019,Rhode Island,5640.0,102.39,5.2,151.2
2020,Rhode Island,5500.0,101.771,5.2,151.2
2021,Rhode Island,5660.0,102.19,5.2,151.2
2022,Rhode Island,5550.0,104.453,5.2,151.2
2023,Rhode Island,5650.0,102.065,5.2,151.2
2024,Rhode Island,5530.0,102.28,5.2,151.2
2008,South Carolina,2430.0,91.953,31.4,787.3
2009,South Carolina,2820.0,90.998,31.4,787.3
2010,South Carolina,3210.0,92.664,31.4,787.3
2011,South Carolina,3500.0,93.183,31.4,787.3
2012,South Carolina,4020.0,93.392,31.4,787.3
2013,South Carolina,4290.0,93.299,31.4,787.3
2014,South Carolina,4620.0,93.231,31.4,787.3
2015,South Carolina,4870.0,93.32,31.4,787.3
2016,South Carolina,5240.0,93.636,31.4,787.3
2017,South Carolina,5500.0,92.84,31.4,787.3
2018,South Carolina,5870.0,92.244,31.4,787.3
2019,South Carolina,6050.0,91.49,31.4,787.3
2020,South Carolina,6070.0,90.873,31.4,787.3
2021,South Carolina,6110.0,93.61,31.4,787.3
2022,South Carolina,6150.0,93.342,31.4,787.3
2023,South Carolina,6250.0,93.477,31.4,787.3
2024,South Carolina,6150.0,93.749,31.4,787.3
2008,South Dakota,3250.0,85.018,3.7,118.2
2009,South Dakota,3450.0,86.061,3.7,118.2
2010,South Dakota,3740.0,88.807,3.7,118.2
2011,South Dakota,3950.0,87.272,3.7,118.2
2012,South Dakota,4290.0,90.336,3.7,118.2
2013,South Dakota,4250.0,90.181,3.7,118.2
2014,South Dakota,4340.0,89.357,3.7,118.2
2015,South Dakota,4710.0,87.799,3.7,118.2
2016,South Dakota,4890.0,87.282,3.7,118.2
2017,South Dakota,5020.0,87.223,3.7,118.2
2018,South Dakota,5170.0,91.206,3.7,118.2
2019,South Dakota,5150.0,91.818,3.7,118.2
2020,South Dakota,5260.0,91.32,3.7,118.2
2021,South Dakota,5350.0,90.105,3.7,118.2
2022,South Dakota,5330.0,87.851,3.7,118.2
2023,South Dakota,5160.0,88.149,3.7,118.2
2024,South Dakota,5010.0,88.586,3.7,118.2
2008,Tennessee,2190.0,91.697,34.5,901.7
2009,Tennessee,2460.0,90.495,34.5,901.7
2010,Tennessee,2820.0,92.356,34.5,901.7
2011,Tennessee,3090.0,92.89,34.5,901.7
2012,Tennessee,3480.0,93.405,34.5,901.7
2013,Tennessee,3770.0,92.994,34.5,901.7
2014,Tennessee,4050.0,92.785,34.5,901.7
2015,Tennessee,4190.0,92.812,34.5,901.7
2016,Tennessee,4520.0,93.81,34.5,901.7
2017,Tennessee,4760.0,93.04,34.5,901.7
2018,Tennessee,5050.0,89.649,34.5,901.7
2019,Tennessee,5190.0,91.262,34.5,901.7
2020,Tennessee,5210.0,90.502,34.5,901.7
2021,Tennessee,5330.0,90.58,34.5,901.7
2022,Tennessee,5350.0,91.8,34.5,901.7
2023,Tennessee,5320.0,92.094,34.5,901.7
2024,Tennessee,5240.0,91.87,34.5,901.7
2008,Texas,2350.0,97.068,138.0,3978.0
2009,Texas,2680.0,96.717,138.0,3978.0
2010,Texas,2990.0,97.665,138.0,3978.0
2011,Texas,3240.0,96.986,138.0,3978.0
2012,Texas,3610.0,97.714,138.0,3978.0
2013,Texas,3740.0,98.134,138.0,3978.0
2014,Texas,4000.0,98.437,138.0,3978.0
2015,Texas,4180.0,98.291,138.0,3978.0
2016,Texas,4460.0,98.078,138.0,3978.0
2017,Texas,4700.0,97.435,138.0,3978.0
2018,Texas,4970.0,97.805,138.0,3978.0
2019,Texas,5100.0,98.507,138.0,3978.0
2020,Texas,5160.0,98.759,138.0,3978.0
2021,Texas,5330.0,98.402,138.0,3978.0
2022,Texas,5330.0,97.411,138.0,3978.0
2023,Texas,5350.0,97.14,138.0,3978.0
2024,Texas,5270.0,97.057,138.0,3978.0
2008,Utah,2210.0,96.978,11.1,317.2
2009,Utah,2500.0,100.037,11.1,317.2
2010,Utah,2730.0,97.291,11.1,317.2
2011,Utah,3030.0,99.813,11.1,317.2
2012,Utah,3390.0,99.412,11.1,317.2
2013,Utah,3470.0,98.587,11.1,317.2
2014,Utah,3620.0,97.937,11.1,317.2
2015,Utah,3870.0,97.636,11.1,317.2
2016,Utah,4100.0,97.091,11.1,317.2
2017,Utah,4230.0,98.721,11.1,317.2
2018,Utah,4350.0,96.018,11.1,317.2
2019,Utah,4290.0,97.246,11.1,317.2
2020,Utah,4270.0,95.259,11.1,317.2
2021,Utah,4350.0,94.481,11.1,317.2
2022,Utah,4220.0,94.59,11.1,317.2
2023,Utah,4230.0,95.716,11.1,317.2
2024,Utah,4090.0,98.864,11.1,317.2
2008,Vermont,3780.0,100.686,2.9,76.0
2009,Vermont,3850.0,101.415,2.9,76.0
2010,Vermont,4070.0,99.379,2.9,76.0
2011,Vermont,4070.0,99.109,2.9,76.0
2012,Vermont,4400.0,99.981,2.9,76.0
2013,Vermont,4530.0,100.424,2.9,76.0
2014,Vermont,4850.0,97.937,2.9,76.0
2015,Vermont,5130.0,100.029,2.9,76.0
2016,Vermont,5250.0,98.224,2.9,76.0
2017,Vermont,5620.0,100.337,2.9,76.0
2018,Vermont,5480.0,100.204,2.9,76.0
2019,Vermont,5880.0,99.604,2.9,76.0
2020,Vermont,6190.0,102.132,2.9,76.0
2021,Vermont,6030.0,98.694,2.9,76.0
2022,Vermont,6220.0,101.033,2.9,76.0
2023,Vermont,6090.0,97.142,2.9,76.0
2024,Vermont,5710.0,97.958,2.9,76.0
2008,Virginia,2690.0,103.204,45.6,1098.8
2009,Virginia,3070.0,102.426,45.6,1098.8
2010,Virginia,3410.0,103.724,45.6,1098.8
2011,Virginia,3690.0,103.425,45.6,1098.8
2012,Virginia,4030.0,102.494,45.6,1098.8
2013,Virginia,4320.0,103.523,45.6,1098.8
2014,Virginia,4680.0,103.454,45.6,1098.8
2015,Virginia,4850.0,103.57,45.6,1098.8
2016,Virginia,5230.0,102.777,45.6,1098.8
2017,Virginia,5550.0,101.222,45.6,1098.8
2018,Virginia,5820.0,101.957,45.6,1098.8
2019,Virginia,6050.0,100.053,45.6,1098.8
2020,Virginia,6190.0,101.003,45.6,1098.8
2021,Virginia,6120.0,102.3,45.6,1098.8
2022,Virginia,6210.0,102.026,45.6,1098.8
2023,Virginia,6190.0,101.331,45.6,1098.8
2024,Virginia,6190.0,101.104,45.6,1098.8
2008,Washington,2300.0,104.488,29.7,785.7
2009,Washington,2540.0,104.631,29.7,785.7
2010,Washington,2820.0,102.741,29.7,785.7
2011,Washington,3030.0,103.244,29.7,785.7
2012,Washington,3380.0,102.541,29.7,785.7
2013,Washington,3540.0,102.482,29.7,785.7
2014,Washington,3710.0,103.92,29.7,785.7
2015,Washington,3860.0,104.4,29.7,785.7
2016,Washington,4030.0,105.56,29.7,785.7
2017,Washington,4110.0,107.035,29.7,785.7
2018,Washington,4270.0,107.124,29.7,785.7
2019,Washington,4330.0,107.971,29.7,785.7
2020,Washington,4410.0,107.859,29.7,785.7
2021,Washington,4380.0,108.804,29.7,785.7
2022,Washington,4350.0,110.035,29.7,785.7
2023,Washington,4310.0,108.37,29.7,785.7
2024,Washington,4290.0,107.013,29.7,785.7
2008,West Virginia,2320.0,87.636,7.7,230.3
2009,West Virginia,2580.0,86.654,7.7,230.3
2010,West Virginia,2840.0,88.909,7.7,230.3
2011,West Virginia,2990.0,89.295,7.7,230.3
2012,West Virginia,3290.0,89.312,7.7,230.3
2013,West Virginia,3490.0,90.246,7.7,230.3
2014,West Virginia,3780.0,89.864,7.7,230.3
2015,West Virginia,3800.0,90.557,7.7,230.3
2016,West Virginia,3920.0,89.805,7.7,230.3
2017,West Virginia,4070.0,88.966,7.7,230.3
2018,West Virginia,4020.0,89.411,7.7,230.3
2019,West Virginia,4180.0,88.518,7.7,230.3
2020,West Virginia,4400.0,87.334,7.7,230.3
2021,West Virginia,4460.0,90.981,7.7,230.3
2022,West Virginia,4590.0,89.157,7.7,230.3
2023,West Virginia,4500.0,89.633,7.7,230.3
2024,West Virginia,4400.0,89.497,7.7,230.3
2008,Wisconsin,2530.0,93.159,24.0,718.5
2009,Wisconsin,2870.0,94.116,24.0,718.5
2010,Wisconsin,3240.0,94.723,24.0,718.5
2011,Wisconsin,3470.0,93.742,24.0,718.5
2012,Wisconsin,3860.0,94.312,24.0,718.5
2013,Wisconsin,4000.0,93.89,24.0,718.5
2014,Wisconsin,4230.0,93.799,24.0,718.5
2015,Wisconsin,4370.0,93.287,24.0,718.5
2016,Wisconsin,4580.0,93.173,24.0,718.5
2017,Wisconsin,4750.0,93.531,24.0,718.5
2018,Wisconsin,4850.0,94.028,24.0,718.5
2019,Wisconsin,4940.0,94.476,24.0,718.5
2020,Wisconsin,5020.0,92.666,24.0,718.5
2021,Wisconsin,5030.0,93.309,24.0,718.5
2022,Wisconsin,4950.0,92.401,24.0,718.5
2023,Wisconsin,4890.0,93.22,24.0,718.5
2024,Wisconsin,4740.0,94.095,24.0,718.5
2008,Wyoming,2090.0,95.291,1.8,55.5
2009,Wyoming,2270.0,96.618,1.8,55.5
2010,Wyoming,2480.0,95.473,1.8,55.5
2011,Wyoming,2770.0,97.618,1.8,55.5
2012,Wyoming,3090.0,96.265,1.8,55.5
2013,Wyoming,3160.0,97.347,1.8,55.5
2014,Wyoming,3290.0,97.404,1.8,55.5
2015,Wyoming,3290.0,96.941,1.8,55.5
2016,Wyoming,3300.0,97.747,1.8,55.5
2017,Wyoming,3270.0,97.146,1.8,55.5
2018,Wyoming,3610.0,92.372,1.8,55.5
2019,Wyoming,3690.0,94.107,1.8,55.5
2020,Wyoming,3540.0,91.836,1.8,55.5
2021,Wyoming,3670.0,91.44,1.8,55.5
2022,Wyoming,3640.0,91.767,1.8,55.5
2023,Wyoming,3820.0,91.551,1.8,55.5
2024,Wyoming,3530.0,92.691,1.8,55.5
